epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4904,3.89616,11.6355,1.55517,0.18253,0.40837,0.16883,0.04032,2.68766,4.40711,1.05413,0.000462324,0.000462324,0.000462324
2,73.3858,2.23808,1.81801,0.96854,0.37908,0.43647,0.35859,0.1335,2.20957,1.90063,1.008,0.000934011,0.000934011,0.000934011
3,80.1828,2.0063,1.39563,0.9311,0.94975,0.2484,0.36652,0.11954,2.24563,1.93049,0.97944,0.00140098,0.00140098,0.00140098
4,86.8865,1.97743,1.26214,0.92035,0.64846,0.62454,0.63924,0.24836,1.93049,1.24969,0.9033,0.00140778,0.00140778,0.00140778
5,93.5826,1.84952,1.06721,0.89634,0.67516,0.70454,0.69524,0.26651,1.91542,1.22057,0.90057,0.00140071,0.00140071,0.00140071
6,100.361,1.83326,0.99136,0.90892,0.82657,0.78808,0.83928,0.39224,1.76405,0.91503,0.87988,0.00139363,0.00139363,0.00139363
7,107.24,1.76309,0.90288,0.89974,0.79559,0.8433,0.87441,0.39956,1.64039,0.90872,0.86865,0.00138656,0.00138656,0.00138656
8,113.985,1.76313,0.88172,0.89743,0.66356,0.68664,0.72178,0.3224,1.73423,1.1005,0.87843,0.00137949,0.00137949,0.00137949
9,120.645,1.79911,0.88521,0.89714,0.84433,0.79087,0.86917,0.36821,1.74904,0.91449,0.87481,0.00137241,0.00137241,0.00137241
10,127.396,1.7549,0.86813,0.89374,0.90954,0.87855,0.93517,0.4258,1.76056,0.79446,0.87936,0.00136534,0.00136534,0.00136534
11,134.144,1.69052,0.84294,0.88112,0.93015,0.87117,0.90452,0.42684,1.62876,0.80629,0.86704,0.00135826,0.00135826,0.00135826
12,140.954,1.66924,0.81394,0.87333,0.9434,0.87307,0.92477,0.45389,1.57038,0.77123,0.85734,0.00135119,0.00135119,0.00135119
13,147.753,1.62904,0.80306,0.87495,0.92948,0.8918,0.92545,0.42953,1.65733,0.79257,0.86206,0.00134412,0.00134412,0.00134412
14,154.486,1.62384,0.78649,0.8758,0.89561,0.85384,0.90717,0.43325,1.62402,0.8069,0.86911,0.00133704,0.00133704,0.00133704
