epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1582,3.74843,18.3241,1.49037,0.07076,0.20093,0.04072,0.01265,2.50895,8.52653,1.0002,0.000541044,0.000541044,0.000541044
2,82.9689,2.23968,2.16154,0.94154,0.00733,0.22897,0.00485,0.00152,3.43842,inf,1.6135,0.00109128,0.00109128,0.00109128
3,97.578,2.082,1.75652,0.90464,0.25857,0.56075,0.14362,0.05727,2.17953,inf,0.93784,0.00163602,0.00163602,0.00163602
4,112.256,2.19265,1.56794,0.9171,0.2933,0.67757,0.40852,0.13234,2.42011,8.29816,1.01428,0.00164225,0.00164225,0.00164225
5,126.97,2.00236,1.37668,0.89359,0.41394,0.31256,0.24713,0.09908,1.93545,2.69015,0.89771,0.00163399,0.00163399,0.00163399
6,141.794,1.84346,1.25205,0.87814,0.72232,0.78505,0.80834,0.33665,1.96663,1.645,0.91494,0.00162574,0.00162574,0.00162574
7,156.557,1.89848,1.22743,0.88755,0.72056,0.74883,0.83011,0.38066,1.83722,1.64116,0.88095,0.00161749,0.00161749,0.00161749
8,171.207,1.87491,1.17687,0.87355,0.74729,0.78804,0.78595,0.36566,1.79178,1.4007,0.88003,0.00160924,0.00160924,0.00160924
9,185.758,1.84721,1.12701,0.87204,0.80905,0.84482,0.87059,0.37332,1.83905,1.00069,0.88343,0.00160099,0.00160099,0.00160099
10,200.281,1.8022,1.05558,0.86709,0.72641,0.80859,0.82986,0.36696,1.79355,1.1196,0.87814,0.00159274,0.00159274,0.00159274
11,214.818,1.7558,0.99201,0.8652,0.82776,0.87383,0.9043,0.43293,1.6803,0.99127,0.86558,0.00158448,0.00158448,0.00158448
12,229.705,1.70834,0.9271,0.86473,0.90191,0.91662,0.94017,0.44629,1.68803,0.90014,0.86811,0.00157623,0.00157623,0.00157623
13,244.367,1.74793,0.90961,0.87475,0.87126,0.85981,0.90583,0.42305,1.7665,1.01108,0.87465,0.00156798,0.00156798,0.00156798
14,258.94,1.69921,0.90311,0.86202,0.86365,0.84153,0.91164,0.4295,1.76119,0.97499,0.87372,0.00155973,0.00155973,0.00155973
15,273.468,1.70518,0.85336,0.8582,0.74061,0.66308,0.72063,0.27255,2.09748,1.50651,0.91147,0.00155148,0.00155148,0.00155148
16,288.022,1.65139,0.8398,0.86029,0.9708,0.9274,0.96096,0.463,1.68561,0.75674,0.867,0.00154323,0.00154323,0.00154323
17,302.698,1.69749,0.86967,0.86046,0.94555,0.92045,0.96132,0.46248,1.73153,0.82075,0.86327,0.00153497,0.00153497,0.00153497
18,317.391,1.66469,0.81941,0.86394,0.9127,0.92056,0.95977,0.4593,1.63729,0.86638,0.86029,0.00152672,0.00152672,0.00152672
19,331.946,1.69362,0.84375,0.85838,0.8862,0.89308,0.93045,0.39892,1.88402,0.94556,0.88378,0.00151847,0.00151847,0.00151847
20,346.505,1.67722,0.79361,0.85656,0.87286,0.85497,0.90869,0.40424,1.73565,0.97541,0.86965,0.00151022,0.00151022,0.00151022
21,361.07,1.61507,0.78128,0.8596,0.93245,0.91928,0.95788,0.46091,1.69261,0.82775,0.86376,0.00150197,0.00150197,0.00150197
