epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.22277,3.78733,10.2875,1.45738,0,0,0,0,2.42608,4.71228,1.00005,0.000541044,0.000541044,0.000541044
2,15.1009,2.38501,3.84662,0.95331,0.00237,0.18224,0.0047,0.00123,2.23395,5.80364,0.91654,0.00109128,0.00109128,0.00109128
3,20.7288,2.13291,2.90619,0.90673,0.54916,0.17394,0.33173,0.13962,1.97178,2.79976,0.89941,0.00163602,0.00163602,0.00163602
4,26.8227,2.04443,2.34402,0.89638,0.6665,0.51917,0.59573,0.22521,1.99843,2.23987,0.88727,0.00164225,0.00164225,0.00164225
5,32.4048,1.97296,1.92193,0.88703,0.79147,0.7386,0.7911,0.32057,2.06532,1.47383,0.90319,0.00163399,0.00163399,0.00163399
6,37.9416,1.90408,1.64511,0.87977,0.63371,0.71224,0.72508,0.27861,2.05638,1.55467,0.91281,0.00162574,0.00162574,0.00162574
7,43.4984,1.93778,1.55599,0.88894,0.89045,0.85047,0.92002,0.38788,1.94059,0.97687,0.89732,0.00161749,0.00161749,0.00161749
8,49.035,1.8591,1.38973,0.87045,0.79671,0.79457,0.87339,0.42293,1.74954,1.05344,0.8683,0.00160924,0.00160924,0.00160924
9,54.4624,1.8305,1.30597,0.87081,0.93352,0.86771,0.95036,0.43597,1.74823,0.88574,0.86572,0.00160099,0.00160099,0.00160099
10,59.9076,1.82915,1.20667,0.86373,0.8681,0.83919,0.90666,0.42998,1.69981,0.94624,0.8619,0.00159274,0.00159274,0.00159274
11,65.3965,1.78802,1.10713,0.86705,0.87314,0.89544,0.93144,0.43301,1.82658,0.885,0.87363,0.00158448,0.00158448,0.00158448
12,70.9591,1.77664,1.07495,0.86731,0.95545,0.93825,0.98011,0.48271,1.6716,0.87603,0.8617,0.00157623,0.00157623,0.00157623
13,76.645,1.7482,1.02828,0.86795,0.93267,0.90099,0.96815,0.47232,1.68826,0.86287,0.86061,0.00156798,0.00156798,0.00156798
14,81.9548,1.82923,1.08542,0.86961,0.93944,0.86916,0.95648,0.46288,1.69308,0.86301,0.86196,0.00155973,0.00155973,0.00155973
15,87.5517,1.73229,0.9982,0.86001,0.90397,0.91849,0.95531,0.46157,1.66436,0.82032,0.85667,0.00155148,0.00155148,0.00155148
16,92.9172,1.67682,0.96427,0.86,0.88418,0.87561,0.92542,0.44425,1.75857,0.85598,0.86601,0.00154323,0.00154323,0.00154323
17,98.4553,1.72872,0.972,0.85975,0.92731,0.89252,0.95783,0.46829,1.69907,0.88332,0.86497,0.00153497,0.00153497,0.00153497
18,103.902,1.7097,0.93494,0.86258,0.9396,0.94146,0.97207,0.46767,1.66652,0.8778,0.85887,0.00152672,0.00152672,0.00152672
19,109.29,1.70783,0.94592,0.85704,0.91576,0.91198,0.9616,0.47089,1.67607,0.80943,0.86001,0.00151847,0.00151847,0.00151847
20,114.811,1.68134,0.90986,0.85265,0.97618,0.95395,0.97963,0.48604,1.64542,0.77262,0.85444,0.00151022,0.00151022,0.00151022
21,120.205,1.63856,0.88859,0.85696,0.90368,0.86338,0.90964,0.42171,1.78022,0.90526,0.86747,0.00150197,0.00150197,0.00150197
22,125.913,1.68674,0.8987,0.86074,0.74288,0.85047,0.83622,0.41029,1.70557,1.00932,0.86722,0.00149372,0.00149372,0.00149372
23,131.428,1.70015,0.87909,0.85687,0.95823,0.95105,0.97046,0.48291,1.6555,0.75603,0.8588,0.00148546,0.00148546,0.00148546
24,136.978,1.6716,0.85615,0.85031,0.89546,0.85254,0.91088,0.43463,1.6975,0.96158,0.8633,0.00147721,0.00147721,0.00147721
25,142.477,1.65838,0.84086,0.85049,0.94556,0.93949,0.97764,0.47801,1.62561,0.76638,0.85542,0.00146896,0.00146896,0.00146896
26,147.875,1.61772,0.8507,0.84648,0.94481,0.95496,0.97023,0.46559,1.732,0.77046,0.86136,0.00146071,0.00146071,0.00146071
27,153.378,1.63847,0.82415,0.84845,0.93928,0.93512,0.97022,0.48694,1.65941,0.78166,0.85966,0.00145246,0.00145246,0.00145246
28,158.828,1.62072,0.80976,0.84342,0.95064,0.91033,0.9654,0.47613,1.63588,0.81673,0.85594,0.00144421,0.00144421,0.00144421
29,164.343,1.62226,0.80358,0.84923,0.96553,0.93709,0.96649,0.49199,1.64233,0.72284,0.85478,0.00143595,0.00143595,0.00143595
30,169.685,1.5916,0.78387,0.84783,0.98298,0.95794,0.98891,0.50253,1.61415,0.7138,0.8551,0.0014277,0.0014277,0.0014277
31,175.192,1.56255,0.77125,0.84051,0.94909,0.95523,0.96646,0.46215,1.67242,0.77593,0.8617,0.00141945,0.00141945,0.00141945
32,180.863,1.54501,0.7619,0.83676,0.96781,0.95146,0.98849,0.48172,1.62889,0.73376,0.84962,0.0014112,0.0014112,0.0014112
33,186.254,1.57518,0.7686,0.84822,0.96304,0.9544,0.98432,0.46745,1.70677,0.77013,0.8665,0.00140295,0.00140295,0.00140295
34,191.769,1.55351,0.77603,0.83899,0.97692,0.97048,0.99155,0.48974,1.61122,0.7517,0.85313,0.0013947,0.0013947,0.0013947
35,197.244,1.55186,0.76096,0.83625,0.93534,0.95103,0.96554,0.4722,1.63399,0.80253,0.85698,0.00138644,0.00138644,0.00138644
36,202.714,1.53031,0.76444,0.83837,0.95854,0.97911,0.98782,0.49567,1.64215,0.76559,0.85051,0.00137819,0.00137819,0.00137819
37,208.119,1.55084,0.77545,0.83855,0.88897,0.93365,0.95649,0.46985,1.61198,0.81538,0.85291,0.00136994,0.00136994,0.00136994
38,213.611,1.53695,0.73209,0.83887,0.93944,0.96015,0.97603,0.46965,1.68761,0.71193,0.85801,0.00136169,0.00136169,0.00136169
39,219.133,1.54113,0.74405,0.83643,0.95702,0.95041,0.96369,0.47509,1.70709,0.7272,0.86457,0.00135344,0.00135344,0.00135344
40,224.67,1.53501,0.73487,0.83899,0.96837,0.95265,0.98514,0.46726,1.73639,0.81265,0.86264,0.00134519,0.00134519,0.00134519
41,230.41,1.57235,0.75839,0.83599,0.98236,0.96221,0.99109,0.49703,1.59816,0.74232,0.84895,0.00133693,0.00133693,0.00133693
42,235.79,1.5121,0.72663,0.84205,0.96603,0.94532,0.97773,0.5002,1.57883,0.70623,0.84983,0.00132868,0.00132868,0.00132868
43,241.336,1.46961,0.71906,0.83682,0.97178,0.95969,0.98615,0.45645,1.66689,0.73207,0.86027,0.00132043,0.00132043,0.00132043
44,246.753,1.52647,0.7499,0.83365,0.96229,0.9712,0.97385,0.47527,1.66277,0.70931,0.8599,0.00131218,0.00131218,0.00131218
45,252.326,1.51858,0.73389,0.83811,0.8945,0.95875,0.96729,0.49345,1.63947,0.77714,0.85471,0.00130393,0.00130393,0.00130393
46,257.771,1.53762,0.74855,0.83908,0.95957,0.97664,0.98715,0.48936,1.63947,0.72502,0.85257,0.00129568,0.00129568,0.00129568
47,263.24,1.50511,0.73188,0.83689,0.96673,0.94833,0.97502,0.47877,1.61512,0.71739,0.85121,0.00128742,0.00128742,0.00128742
48,268.751,1.47373,0.70488,0.83159,0.96138,0.96729,0.97889,0.4894,1.59631,0.70039,0.85205,0.00127917,0.00127917,0.00127917
49,274.217,1.44648,0.68816,0.83163,0.97668,0.97196,0.97998,0.49647,1.6152,0.70457,0.85302,0.00127092,0.00127092,0.00127092
50,279.913,1.44818,0.68971,0.83098,0.96504,0.967,0.97671,0.49985,1.6189,0.69217,0.85686,0.00126267,0.00126267,0.00126267
51,285.247,1.46461,0.70949,0.83172,0.94214,0.97115,0.98572,0.50419,1.57957,0.73327,0.85365,0.00125442,0.00125442,0.00125442
52,290.807,1.44768,0.69186,0.84108,0.96106,0.94464,0.97543,0.48863,1.61446,0.73241,0.85621,0.00124617,0.00124617,0.00124617
53,296.231,1.48438,0.7158,0.83556,0.96555,0.95327,0.97449,0.4999,1.6049,0.70475,0.8538,0.00123791,0.00123791,0.00123791
54,301.701,1.483,0.7287,0.83045,0.97506,0.96529,0.97915,0.49233,1.60628,0.75405,0.85334,0.00122966,0.00122966,0.00122966
55,307.123,1.4272,0.69076,0.83485,0.9507,0.95198,0.97213,0.4924,1.61131,0.68966,0.85229,0.00122141,0.00122141,0.00122141
56,312.516,1.44199,0.66923,0.83594,0.96554,0.96155,0.98435,0.48309,1.61715,0.72712,0.85333,0.00121316,0.00121316,0.00121316
57,318.155,1.43987,0.66759,0.83211,0.96012,0.97535,0.98937,0.50526,1.5624,0.67602,0.84758,0.00120491,0.00120491,0.00120491
