epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1313,3.90701,40.1534,1.57972,0.04546,0.05607,0.02804,0.00702,2.57773,138.606,1.05251,0.000541044,0.000541044,0.000541044
2,18.0229,2.25,2.45489,0.9494,0.12099,0.07477,0.05154,0.01822,2.46611,inf,1.07972,0.00109128,0.00109128,0.00109128
3,25.5553,2.12086,1.96074,0.91067,0.15771,0.10748,0.01717,0.00739,2.57026,8.17135,1.09846,0.00163602,0.00163602,0.00163602
4,33.0745,2.02033,1.58123,0.90026,0.16851,0.0514,0.04345,0.02007,2.96953,3.4707,1.5954,0.00164225,0.00164225,0.00164225
5,41.2341,1.91698,1.32775,0.88325,0.61376,0.41334,0.48172,0.20792,1.97428,2.26763,0.91567,0.00163399,0.00163399,0.00163399
6,48.7988,1.84717,1.18642,0.88046,0.84406,0.45766,0.53688,0.22781,2.10881,1.63213,1.06343,0.00162574,0.00162574,0.00162574
7,56.4603,1.87278,1.13191,0.88863,0.86139,0.72948,0.84129,0.35522,1.91103,1.21456,0.8881,0.00161749,0.00161749,0.00161749
8,64.0013,1.83524,1.05709,0.87048,0.6648,0.42903,0.52141,0.24745,1.7896,2.0428,0.88414,0.00160924,0.00160924,0.00160924
9,71.5459,1.84709,1.00364,0.87468,0.88027,0.79472,0.89332,0.40369,1.79696,1.01957,0.8712,0.00160099,0.00160099,0.00160099
10,79.1405,1.82198,0.95206,0.86724,0.93434,0.88011,0.94417,0.45026,1.66475,0.876,0.86217,0.00159274,0.00159274,0.00159274
11,86.6751,1.77574,0.92845,0.86718,0.88693,0.83178,0.91074,0.46397,1.6205,0.92664,0.86109,0.00158448,0.00158448,0.00158448
12,94.2136,1.74325,0.8801,0.86852,0.948,0.9506,0.96271,0.45343,1.76345,0.77232,0.87202,0.00157623,0.00157623,0.00157623
13,101.709,1.69743,0.86515,0.8683,0.96119,0.95865,0.98241,0.49345,1.64205,0.75821,0.8639,0.00156798,0.00156798,0.00156798
14,109.486,1.76165,0.87484,0.86966,0.85806,0.79511,0.86969,0.37871,1.84592,1.04761,0.88373,0.00155973,0.00155973,0.00155973
15,117.025,1.70637,0.91939,0.86064,0.87393,0.86449,0.90339,0.43189,1.68872,1.01261,0.86988,0.00155148,0.00155148,0.00155148
16,124.529,1.66585,0.84593,0.86205,0.91274,0.9486,0.95253,0.45353,1.72851,0.82938,0.87847,0.00154323,0.00154323,0.00154323
17,132.086,1.68614,0.86206,0.85817,0.90028,0.88785,0.93081,0.45044,1.78398,0.83892,0.87422,0.00153497,0.00153497,0.00153497
18,139.553,1.66147,0.79803,0.86181,0.93774,0.93793,0.97636,0.47851,1.60568,0.78951,0.85598,0.00152672,0.00152672,0.00152672
19,147.085,1.71147,0.83385,0.86168,0.9155,0.89354,0.93529,0.41726,1.79457,0.85841,0.87213,0.00151847,0.00151847,0.00151847
20,154.642,1.71115,0.80852,0.85594,0.94648,0.95261,0.96047,0.47681,1.72853,0.73451,0.86462,0.00151022,0.00151022,0.00151022
21,162.12,1.61807,0.7708,0.86128,0.97026,0.97027,0.97987,0.4986,1.60732,0.67647,0.86033,0.00150197,0.00150197,0.00150197
22,169.66,1.61694,0.76563,0.85743,0.9207,0.96075,0.9619,0.48805,1.68245,0.73421,0.86462,0.00149372,0.00149372,0.00149372
23,177.121,1.63683,0.78592,0.85449,0.9452,0.91589,0.96056,0.49728,1.64823,0.7633,0.86213,0.00148546,0.00148546,0.00148546
24,184.843,1.63284,0.75932,0.84946,0.93921,0.94112,0.96933,0.45146,1.73186,0.78914,0.87275,0.00147721,0.00147721,0.00147721
25,192.393,1.61463,0.74875,0.85218,0.93029,0.93063,0.98253,0.49472,1.56544,0.73818,0.8494,0.00146896,0.00146896,0.00146896
26,199.876,1.56551,0.77387,0.84322,0.58581,0.50756,0.55286,0.21259,2.10811,2.0779,0.91333,0.00146071,0.00146071,0.00146071
27,207.42,1.61,0.76167,0.84773,0.97134,0.92346,0.97098,0.49552,1.61206,0.70194,0.8571,0.00145246,0.00145246,0.00145246
28,214.926,1.61884,0.76783,0.8456,0.94341,0.91589,0.94522,0.44643,1.71506,0.72214,0.86365,0.00144421,0.00144421,0.00144421
29,222.515,1.59326,0.75974,0.84863,0.95628,0.95563,0.97408,0.4983,1.62179,0.6621,0.85467,0.00143595,0.00143595,0.00143595
30,229.992,1.52389,0.68051,0.84816,0.97079,0.93712,0.95196,0.49843,1.581,0.6727,0.85688,0.0014277,0.0014277,0.0014277
31,237.487,1.53929,0.69791,0.84337,0.96885,0.95327,0.9729,0.50188,1.5755,0.67999,0.8529,0.00141945,0.00141945,0.00141945
32,245.095,1.53329,0.71583,0.83924,0.9476,0.95616,0.97254,0.5014,1.64204,0.67957,0.85751,0.0014112,0.0014112,0.0014112
33,252.802,1.54355,0.69318,0.84905,0.96251,0.96053,0.97212,0.49508,1.6474,0.69981,0.86569,0.00140295,0.00140295,0.00140295
34,260.293,1.52698,0.6885,0.84372,0.9667,0.95708,0.96507,0.50249,1.56069,0.70124,0.85494,0.0013947,0.0013947,0.0013947
35,267.895,1.50426,0.68199,0.83445,0.93753,0.96729,0.9785,0.51935,1.58568,0.7124,0.86188,0.00138644,0.00138644,0.00138644
36,275.422,1.4928,0.68279,0.83798,0.95974,0.90654,0.95399,0.45959,1.7657,0.75753,0.87246,0.00137819,0.00137819,0.00137819
37,282.96,1.55614,0.71062,0.84365,0.96076,0.96262,0.97834,0.50504,1.64204,0.72789,0.85917,0.00136994,0.00136994,0.00136994
38,290.475,1.53124,0.69874,0.8395,0.95777,0.95131,0.98345,0.50812,1.57911,0.69335,0.84908,0.00136169,0.00136169,0.00136169
39,298.018,1.49977,0.68321,0.83621,0.94122,0.91121,0.96247,0.49848,1.61824,0.75647,0.85691,0.00135344,0.00135344,0.00135344
40,305.511,1.46481,0.67085,0.83584,0.97802,0.96372,0.98364,0.5207,1.58394,0.6774,0.85351,0.00134519,0.00134519,0.00134519
41,313.129,1.54213,0.6852,0.83848,0.94587,0.92984,0.94639,0.47566,1.69273,0.68152,0.86157,0.00133693,0.00133693,0.00133693
42,320.861,1.58239,0.68207,0.85025,0.95845,0.97061,0.97227,0.49155,1.60222,0.66423,0.84981,0.00132868,0.00132868,0.00132868
43,328.4,1.46719,0.64858,0.83926,0.97393,0.96629,0.97376,0.51948,1.57329,0.66144,0.85259,0.00132043,0.00132043,0.00132043
44,335.867,1.47858,0.66012,0.83357,0.95628,0.93248,0.97141,0.51419,1.59209,0.75103,0.85248,0.00131218,0.00131218,0.00131218
45,343.436,1.44444,0.64757,0.83868,0.96383,0.96904,0.97879,0.51572,1.5717,0.68007,0.84585,0.00130393,0.00130393,0.00130393
46,350.878,1.4639,0.66738,0.83376,0.95067,0.96301,0.97541,0.52944,1.52396,0.6731,0.8468,0.00129568,0.00129568,0.00129568
47,358.45,1.43962,0.64658,0.83531,0.94529,0.97299,0.97123,0.50195,1.59103,0.67203,0.8559,0.00128742,0.00128742,0.00128742
48,365.908,1.45241,0.63289,0.8303,0.93613,0.95918,0.97047,0.51,1.59758,0.68318,0.85532,0.00127917,0.00127917,0.00127917
49,373.444,1.41203,0.62739,0.82972,0.98568,0.96218,0.98197,0.5177,1.55492,0.66379,0.84908,0.00127092,0.00127092,0.00127092
50,380.922,1.4281,0.6218,0.82988,0.96716,0.96497,0.96588,0.52684,1.57509,0.64566,0.85437,0.00126267,0.00126267,0.00126267
51,388.589,1.41507,0.6298,0.82928,0.97246,0.96461,0.97706,0.50348,1.61093,0.69368,0.85504,0.00125442,0.00125442,0.00125442
