epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.074,0.96234,3.00524,0.89867,0.45438,0.62443,0.53933,0.41384,0.90337,1.11026,0.85484,0.000207182,0.000207182,0.000207182
2,173.143,0.65309,1.04617,0.8272,0.84299,0.85285,0.89119,0.75341,0.61491,0.64502,0.81763,0.000407288,0.000407288,0.000407288
3,208.898,0.56498,0.73921,0.81533,0.95275,0.92466,0.97897,0.79805,0.73581,0.51142,0.83514,0.000599145,0.000599145,0.000599145
4,242.313,0.53647,0.61893,0.81014,0.96673,0.97664,0.99058,0.85662,0.56669,0.42918,0.81306,0.000587875,0.000587875,0.000587875
5,278.084,0.50295,0.55304,0.80754,0.97226,0.96408,0.99108,0.80488,0.76813,0.47006,0.83883,0.0005755,0.0005755,0.0005755
6,312.522,0.48067,0.50896,0.80365,0.97706,0.98738,0.9934,0.84063,0.64588,0.40748,0.82319,0.000563125,0.000563125,0.000563125
7,347.389,0.46649,0.47984,0.80215,0.98688,0.98386,0.99371,0.85154,0.61794,0.38894,0.82061,0.00055075,0.00055075,0.00055075
8,381.96,0.46298,0.4561,0.80141,0.99127,0.9884,0.99457,0.8665,0.56772,0.36603,0.81163,0.000538375,0.000538375,0.000538375
9,415.577,0.45412,0.44097,0.80076,0.98461,0.98268,0.99273,0.85944,0.59102,0.3631,0.81425,0.000526,0.000526,0.000526
10,450.889,0.4369,0.41976,0.79852,0.9853,0.98629,0.99283,0.82794,0.71108,0.38209,0.83051,0.000513625,0.000513625,0.000513625
11,485.96,0.42594,0.39902,0.7966,0.98451,0.98874,0.99436,0.85254,0.62651,0.35374,0.81925,0.00050125,0.00050125,0.00050125
12,520.367,0.42187,0.3938,0.79655,0.9847,0.98763,0.99379,0.84928,0.63718,0.35182,0.82081,0.000488875,0.000488875,0.000488875
13,553.929,0.42619,0.38752,0.79597,0.99051,0.99239,0.99372,0.85487,0.60134,0.33384,0.81697,0.0004765,0.0004765,0.0004765
14,587.93,0.41935,0.37421,0.79578,0.99242,0.99235,0.99386,0.84205,0.65756,0.34625,0.82641,0.000464125,0.000464125,0.000464125
15,623.513,0.41278,0.36606,0.79464,0.99447,0.99142,0.99451,0.86024,0.62659,0.33639,0.82028,0.00045175,0.00045175,0.00045175
16,658.649,0.41725,0.36185,0.79468,0.98717,0.99205,0.99403,0.83259,0.71795,0.35439,0.83489,0.000439375,0.000439375,0.000439375
17,692.898,0.41421,0.3577,0.79437,0.99392,0.991,0.99422,0.85557,0.61894,0.32467,0.82141,0.000427,0.000427,0.000427
18,726.021,0.3977,0.34573,0.79372,0.99498,0.99254,0.99484,0.85796,0.61907,0.32427,0.81922,0.000414625,0.000414625,0.000414625
19,760.6,0.40407,0.34697,0.79394,0.9937,0.99219,0.99437,0.86635,0.60447,0.32384,0.81663,0.00040225,0.00040225,0.00040225
20,795.378,0.40262,0.34431,0.79286,0.99023,0.99667,0.99466,0.86534,0.58574,0.31078,0.81558,0.000389875,0.000389875,0.000389875
21,830.082,0.38991,0.33032,0.79143,0.99522,0.99236,0.99429,0.85585,0.62058,0.32194,0.82201,0.0003775,0.0003775,0.0003775
22,864.215,0.38913,0.32834,0.79189,0.99062,0.99374,0.99453,0.85926,0.62473,0.31716,0.82154,0.000365125,0.000365125,0.000365125
23,899.219,0.38962,0.32714,0.79239,0.99291,0.99398,0.9948,0.85664,0.61505,0.30764,0.8214,0.00035275,0.00035275,0.00035275
24,933.951,0.38038,0.31608,0.7905,0.99151,0.99229,0.99484,0.84961,0.65827,0.31689,0.82751,0.000340375,0.000340375,0.000340375
25,968.677,0.37656,0.31118,0.79007,0.99729,0.99147,0.99451,0.85108,0.65104,0.30985,0.82573,0.000328,0.000328,0.000328
26,1001.64,0.37671,0.30729,0.78957,0.99406,0.99595,0.99463,0.86969,0.57638,0.292,0.81519,0.000315625,0.000315625,0.000315625
27,1037.67,0.38155,0.30744,0.78988,0.99614,0.99473,0.99449,0.86811,0.59545,0.29518,0.8171,0.00030325,0.00030325,0.00030325
28,1072.23,0.37731,0.30224,0.7902,0.99297,0.9966,0.99485,0.847,0.67202,0.31564,0.8303,0.000290875,0.000290875,0.000290875
29,1107.34,0.36752,0.29716,0.78948,0.99624,0.99391,0.99485,0.85289,0.64615,0.30635,0.82547,0.0002785,0.0002785,0.0002785
30,1142.34,0.36989,0.29813,0.78915,0.99681,0.99635,0.9947,0.86851,0.59038,0.29052,0.81648,0.000266125,0.000266125,0.000266125
31,1177.13,0.36494,0.29177,0.78776,0.99576,0.99683,0.99489,0.86295,0.60408,0.28945,0.81933,0.00025375,0.00025375,0.00025375
32,1211.78,0.361,0.28923,0.78844,0.99721,0.99603,0.99488,0.85423,0.63856,0.29949,0.82451,0.000241375,0.000241375,0.000241375
33,1245.28,0.36501,0.29172,0.78869,0.99659,0.99703,0.99492,0.85146,0.66332,0.30579,0.82739,0.000229,0.000229,0.000229
